Sequence,20-0027-DNA,20-0027-RNA,20-0030-DNA,20-0030-RNA,20-0036-DNA,20-0036-RNA,20-0048-RNA,20-0052-DNA,20-0052-RNA,20-0071-DNA,20-0071-RNA,20-0078-DNA,20-0078-RNA,20-0095-DNA,20-0095-RNA,20-0103-DNA,20-0103-RNA,20-0115-DNA,20-0115-RNA,20-0123-DNA,20-0123-RNA,20-0140-DNA,20-0140-RNA,20-0143-DNA,20-0143-RNA,20-0148-DNA,20-0148-RNA,20-0150-DNA,20-0150-RNA,20-0166-DNA,20-0166-RNA,20-0171-DNA,20-0171-RNA,20-0180-RNA,20-0186-DNA,20-0210-DNA,20-0210-RNA,20-0219-DNA,20-0219-RNA,20-0224-DNA,20-0224-RNA,20-0226-DNA,20-0226-RNA,20-0235-DNA,20-0235-RNA,20-0240-DNA,20-0240-RNA,20-0250-DNA,20-0250-RNA,20-0255-DNA,20-0255-RNA,20-0256-DNA,20-0256-RNA,20-0283-DNA,20-0283-RNA,20-0290-DNA,20-0290-RNA,20-0311-DNA,20-0311-RNA,20-0324-DNA,20-0324-RNA,20-0327-DNA,20-0327-RNA,20-0331-DNA,20-0331-RNA,20-0335-DNA,20-0335-RNA,20-0351-DNA,20-0351-RNA,20-0360-DNA,20-0362-DNA,20-0400-DNA,20-0400-RNA,20-0418-DNA,20-0418-RNA,20-0425-DNA,20-0425-RNA,20-0426-DNA,20-0426-RNA,20-0442-DNA,20-0442-RNA,20-0454-DNA,20-0454-RNA,20-0466-DNA,20-0466-RNA,20-0474-DNA,20-0474-RNA,20-0479-DNA,20-0479-RNA,20-0503-DNA,20-0503-RNA,20-0506-DNA,20-0506-RNA,20-0515-DNA,20-0515-RNA,20-0524-DNA,20-0524-RNA,20-0536-RNA,20-0538-DNA,20-0538-RNA,20-0543-DNA,20-0543-RNA,20-0564-DNA,20-0564-RNA,20-0578-DNA,20-0578-RNA,20-0583-DNA,20-0583-RNA,20-0593-DNA,20-0593-RNA,20-0599-DNA,20-0599-RNA,20-0608-DNA,20-0608-RNA,20-0611-DNA,20-0611-RNA,20-0618-DNA,20-0618-RNA,20-0623-DNA,20-0623-RNA,20-0626-DNA,20-0626-RNA,20-0632-RNA
Seq32,0,0,0,1095,0,0,0,12,0,0,0,0,9797,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38587,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,65,0,19,507,0,0,417,0,0,0,0,0,0,0,0,0,0,0,0,24,41,0,0,0,0,4,42,0,0,0,0,0,0,0,0,1747,0,0,0,0,0,2,0,0
Seq33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,2033,23,0,0,0,0,0,0,0,0,13,0,0,0,18449,0,0,0,9,0,0,2324,34,106,0,0,0,558,0,0,0,0,0,0,0,0,0,0,0,0,22,5489,0,0,0,0,0,0,0,0,0,0,0,0,1072,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,7564,0,0,0,0,1048,7,6305,0,0,0,6815,0,0,0,0,0,0,101
Seq34,74,402,39,116,27,44,2991,39,2183,21,183,0,215,36,537,0,4740,0,399,205,702,247,1790,0,232,36,47,11,0,153,1340,0,1389,172,0,0,338,100,1391,31,452,0,1303,72,91,66,677,88,1074,0,1694,488,2629,22,684,0,76,0,68,0,0,123,701,0,424,33,216,52,679,171,63,95,2724,38,349,0,1636,0,0,0,82,90,14,0,134,36,1329,44,179,0,4714,13,535,0,506,0,355,66,49,50,154,45,0,1793,25,317,45,123,0,119,0,182,0,405,13,0,0,177,22,726,37,68,1260
Seq35,0,471,265,0,0,151,293,114,1945,93,433,0,29,440,369,58,2236,0,0,501,0,511,0,0,0,1207,0,39,0,340,1330,0,2348,0,363,0,594,627,0,676,1603,0,2223,829,82,124,670,1113,1251,0,407,996,343,95,165,24,131,0,111,88,0,154,0,0,0,0,598,224,95,950,201,1960,171,44,557,0,3540,443,0,0,210,0,0,73,0,0,603,613,35,498,994,835,157,0,1558,0,3067,65,19,0,159,0,0,894,75,0,167,188,119,142,455,633,0,123,36,547,0,104,0,2573,60,0,1035
Seq36,0,0,0,0,0,0,0,0,3434,0,0,0,0,0,0,0,7519,0,0,2338,0,2076,0,0,0,0,0,0,101,0,7194,0,0,0,0,0,0,8138,0,0,14209,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0
Seq37,0,349,110,0,0,0,874,228,269,466,416,246,0,155,1541,394,308,0,2637,201,178,782,1035,0,0,157,712,0,128,54,426,0,23,292,28,0,240,205,0,414,163,618,0,28,0,5588,139,32,36,0,15,46,42,253,227,0,35,0,0,37,0,527,1582,0,391,0,8,814,0,142,0,610,758,519,359,0,72,1007,0,0,61,0,0,30,1164,0,9375,68,395,41,372,186,865,0,569,0,2215,10,0,0,644,0,0,1195,0,0,500,59,588,0,1469,4,0,334,0,0,0,5,1373,234,0,241,67
Seq38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,0,0,0,0,0,0,0,0,0,0,8,1329,0,0,217,154,0,0,0,0,0,0,0,0,32468,0,0,0,0,0,0,17,10,0,0,0,0,0,0,0,0,0,1734,0,0,0,0,0,0,0,0,23,402,681,0,0,4,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,8070,0,0,0,0,0,0,0,82,0,223,0
Seq39,0,747,667,0,167,57,722,80,0,350,0,0,0,142,1142,54,0,0,0,0,441,1365,766,0,1223,0,51,0,224,0,0,0,0,0,0,0,369,2953,0,913,9163,52,0,0,0,335,1996,0,0,0,0,1550,0,0,0,0,0,0,222,0,0,0,41,0,0,0,446,0,0,0,0,3343,322,0,0,0,0,0,0,0,0,0,0,0,44,0,1990,0,0,1361,0,894,104,0,0,0,2042,0,0,0,78,0,0,3277,0,0,0,0,0,0,525,0,0,143,0,0,0,688,0,5941,181,0,0
Seq40,0,0,0,0,0,0,0,0,0,0,7312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,5,0,0,0,0,10,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,3,0,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38131,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0
Seq41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,88,0,111,0,0,0,700,0,0,7,225,25813,0,465,0,307,0,0,0,0,0,0,0,0,0,0,120,0,10,133,0,320,278,140,0,0,0,0,0,0,9090,0,0,0,0,0,0,0,0,0,287,0,0,0,0,4866,0,118,0,0,0,2805,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seq42,224,202,30,0,58,113,337,116,895,1258,44,87,0,90,584,183,725,0,155,1224,552,1735,608,0,429,1544,9,184,0,1550,347,0,1133,48,96,0,289,1072,318,335,644,29,486,1060,17,414,20,544,463,0,928,2517,1893,98,431,70,35,0,51,478,0,1343,160,0,211,0,51,350,136,407,302,1101,1190,1169,166,0,370,0,0,0,51,0,0,564,105,0,286,1236,0,0,1026,567,230,0,399,43,0,9,0,0,477,0,0,700,444,0,213,44,147,80,808,208,0,237,0,412,0,366,29,1274,221,101,545
Seq43,0,0,0,0,0,0,0,0,0,2456,0,0,0,0,0,0,0,0,0,86,432,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,18,0,0,522,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,18379,18,0,0,0,0,269,55,15,0,12063,4326,96,0,0,0,0,0,0,14,0,0,0,0,0,959,0,50,0,0,0,0,0,130,0,0,135,0,0,0,0,0,0,0,0,0,14,223,0,0,0,0,33,0,0,0,0,0,2221,36,0,0
Seq44,0,0,0,0,0,0,639,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,13205,0,0,17192,0,0,0,0,0,0,0,0,0,0,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,0,0,0,0,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976,0,918,0,0,0,0,730,0,0,0,0,0,0,568,0,0,0,0,0,0,158,0,0,0,0,0,0,235,0,6033,0,0,0
Seq45,1982,225,173,207,0,391,0,157,864,262,48,42,938,97,652,299,1381,0,48,428,318,347,95,0,0,83,0,454,0,72,383,0,944,127,123,0,379,148,5388,423,0,0,31,78,481,0,251,54,103,0,63,495,55,363,670,377,213,0,766,218,874,302,43,0,393,994,0,22,34,87,267,409,374,169,289,0,115,0,7,83,218,88,3717,147,244,48,0,25,30,74,189,141,810,0,203,0,3049,0,405,375,364,933,0,0,145,255,32,244,76,196,94,49,0,186,897,990,0,107,61,222,176,500,69
Seq46,2,210,23,0,211,0,51,0,0,92,0,6,0,42,0,100,13,0,52,162,0,371,19,0,167,195,18,92,4,2726,0,0,63,0,102,0,0,18878,0,881,2790,14,101,95,0,268,0,235,120,0,1077,229,151,0,14,0,30,0,78,35,0,12,0,0,0,0,114,60,0,279,26,344,0,43,3,0,214,118,0,9,0,0,0,144,0,9,0,158,23,220,26,368,200,0,32,5875,0,0,0,0,1242,0,0,22,0,0,114,9,353,0,258,3,0,0,120,0,0,0,25,0,94,797,117
Seq47,742,277,0,5,25,265,584,127,923,436,0,7,131,54,17,546,1223,0,34,678,170,1563,10,0,0,725,0,368,154,60,66,0,457,13,182,0,135,574,1313,77,617,0,193,837,102,196,0,381,398,0,69,784,111,0,0,165,226,0,563,47,0,583,0,0,88,938,1118,177,274,519,293,1522,59,602,493,0,693,74,0,222,71,283,180,430,72,77,338,661,97,1766,482,1854,623,0,206,0,12,5,381,520,552,214,0,369,156,387,107,162,265,0,1549,316,0,511,15,0,0,150,5,2626,246,371,637
Seq48,256,268,620,4,173,645,205,168,299,251,30,187,574,153,377,134,706,0,2,1197,55,1152,447,0,169,912,23,116,0,1539,318,0,343,53,38,0,190,484,142,332,263,35,156,1344,9,682,417,163,161,0,1782,3893,2829,90,161,1238,12,0,419,60,0,0,137,0,0,778,15,88,715,333,344,702,0,1159,104,0,585,0,0,1197,0,497,210,11,175,23,329,1139,41,382,534,162,0,0,78,0,15,51,294,360,99,15,0,748,320,218,255,15,140,63,286,170,0,149,122,4,0,282,71,404,56,89,538
Seq49,1064,443,0,77,0,0,58,5,0,695,0,0,0,110,0,154,0,0,668,727,36,0,0,0,0,0,0,0,0,0,88,0,769,0,285,0,0,0,5067,191,0,124,132,213,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,221,3,3105,168,0,0,8315,0,110,0,177,5,0,1055,0,188,0,95,315,0,536,168,2399,2405,0,0,33,0,140,0,0,197,166,289,0,108,0,3031,0,552,809,0,613,0,0,8,1915,0,13,220,0,264,89,0,0,1246,0,0,47,0,0,76,11,40
Seq50,0,14167,0,0,0,63,0,0,0,0,248,0,0,0,0,10,247,0,0,0,0,0,0,0,0,345,0,39,0,89,0,0,95,0,0,0,0,0,0,19721,0,0,0,70,0,29,30,0,55,0,0,37,0,0,0,8,0,0,0,0,0,0,0,0,0,234,0,77,10,268,0,0,0,0,0,0,402,0,0,0,0,39,0,74,0,0,0,230,0,0,1212,65,81,0,65,0,0,0,35,75,31,26,0,0,73,73,1321,0,0,0,0,0,0,0,0,0,0,0,0,19,0,296,147
Seq51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11472,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8376,13677,6037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seq52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27435,11442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seq53,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,10142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27009,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,30,0,0,0,27,0,0,0,0,0,0,0
Seq54,0,0,1244,0,230,24,0,731,0,9387,0,545,0,0,2521,91,0,0,41,0,1932,319,550,0,107,160,71,0,0,0,0,0,0,0,0,0,230,97,0,167,0,265,0,108,0,1530,90,0,0,0,0,363,0,87,276,0,15,0,54,0,0,2586,13,0,65,0,20,0,0,201,75,723,1300,3783,0,0,0,608,0,0,0,0,0,30,180,0,843,81,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,25,44,0,0,230,0,0,0,83,181,0,3637,0,0
Seq55,0,0,0,0,0,17,0,0,0,0,54,0,0,19,0,0,0,0,0,0,0,526,366,0,0,353,0,0,0,0,0,0,0,0,0,0,0,804,0,0,392,0,0,4,0,23,0,9,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,32,0,0,0,20350,14,0,38,234,0,0,95,1086,20,0,0,0,0,0,0,0,0,0,85,0,27,0,0,10,0,0,0,0,0,0,0,0,0,4,10165
Seq56,0,0,0,0,25314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9393,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seq57,0,0,0,0,1136,0,0,55,104,334,29,58,0,0,1443,0,0,0,733,0,1180,0,0,0,2302,0,235,0,80,523,8,0,0,0,0,0,0,0,0,0,0,225,0,0,0,1807,0,0,0,0,516,1676,270,0,0,0,0,0,0,0,0,729,1829,0,0,0,2,251,0,339,0,786,533,319,1016,0,346,676,0,0,0,0,0,0,35,0,1709,220,621,3918,5,0,0,0,165,0,0,0,0,0,0,0,0,3809,0,0,26,0,955,0,1245,0,0,327,0,0,0,134,851,569,620,0,90
Seq58,0,1971,0,0,0,0,0,0,0,0,4922,0,0,175,0,3188,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5103,0,0,0,8,0,0,0,0,30,0,0,28,0,0,0,0,0,0,3085,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1812,0,0,0,0,0,111,0,0,0,0,0,0,0,1116,0,12692,0,0,0,0,3,0,0,0,244,0,0,0,0,0,0,0
Seq59,100,0,2,0,0,0,8,10,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,122,343,614,0,80,0,60,50,47,0,0,33,0,0,0,0,0,0,13,0,3,0,0,118,0,0,0,0,0,15,0,0,0,9,0,0,0,0,56,0,0,0,0,155,104,14517,394,0,0,0,0,31,0,0,26,0,14,0,0,0,0,0,389,238,5,0,0,0,9,16446,0,0,0,0,0,0,0,0,246,0,0,0,18,0,0,0,0
Seq60,0,112,357,0,41,56,740,165,133,14,303,30,0,140,9,1124,586,0,100,597,79,1479,508,0,26,2247,109,0,0,1317,127,0,549,305,117,0,372,285,0,575,92,117,243,2758,0,533,641,292,795,0,533,2301,1745,284,168,0,34,0,1135,114,0,325,0,0,118,0,27,404,836,358,258,729,239,29,91,0,590,14,0,0,47,0,0,295,50,0,206,630,55,0,351,88,72,0,272,0,40,0,0,0,214,0,0,246,177,0,870,64,171,95,396,482,0,0,0,0,0,77,0,0,61,214,350
Seq61,0,1279,28,30,54,536,486,14,60,0,848,28,0,0,698,26,520,0,92,398,48,891,172,0,0,394,111,87,0,237,289,0,322,0,175,0,309,59,57,1679,589,83,914,3620,94,282,0,1171,295,0,142,573,354,0,0,0,38,0,9,0,1770,290,0,0,0,69,4,184,354,477,71,396,810,294,218,0,1017,0,0,21,21,47,0,132,0,30,22,765,97,993,541,86,390,0,202,0,137,10,409,0,82,0,0,871,237,50,606,19,227,35,88,767,0,139,10,0,0,0,109,119,241,134,393
Seq62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9969,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seq63,0,145,338,0,53,84,519,130,701,281,195,55,0,56,167,410,1162,0,269,442,684,985,538,0,50,927,26,26,90,400,84,0,228,153,69,0,58,389,0,329,207,59,124,494,13,230,104,283,444,0,375,1520,836,461,39,10,0,0,260,134,0,362,10,0,448,0,79,191,196,374,34,869,995,425,848,0,559,0,0,0,74,0,0,120,173,0,267,388,87,0,858,440,754,0,226,0,200,0,0,0,517,0,0,681,293,0,230,26,115,12,2187,120,0,83,0,24,0,47,29,727,128,229,263
Seq64,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,13,0,0,0,6,0,0,0,0,0,0,10,3474,0,2499,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,23455,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Seq65,0,2,9786,0,0,0,0,7964,0,211,0,0,0,87,0,0,0,0,0,0,10,815,219,0,0,0,0,0,0,0,0,0,0,0,0,0,2807,0,0,0,0,0,0,0,0,0,2465,0,0,0,0,0,0,0,3481,0,0,0,0,0,0,91,234,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,185,0,0,0,0,76,0,0,0,0,0,0,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,46,0,0
Seq66,0,92,0,0,3,79,49,201,7,0,6,0,0,14,0,0,8,0,0,102,0,4960,2674,0,44,5,35,0,0,50,0,0,19,0,63,0,15,8,0,79,0,162,172,18,0,112,0,150,3,0,6,42,93,0,0,0,0,0,0,11,0,116,0,0,0,19,0,7,0,64,995,0,0,12288,0,0,231,0,0,0,0,0,0,0,0,0,0,8,19,0,19,0,0,0,0,456,0,6,567,0,0,0,0,0,12,0,51,9,29,310,0,3,0,5081,0,0,0,0,4,0,6,112,18
Seq67,0,0,0,0,0,0,3117,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,15,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100,0,15513,10,84,0,0,0,0,0,0,0,0,0,0,0,4918,0,0,0,0,0,0,756,0,0,0,0,0,0,0,0,0,0,0,1358
Seq68,4776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,28,0,0,0,0,4678,3938,28,973,0,1152,0,0,0,0,2563,0,0,12,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,15,0,0,14,4617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2328,0,0,0,0,0,0,0,0,0,0,0,0,0,932,692,0,0,0,0,0,0,0,9,0,0,1181,0
Seq69,0,8634,0,0,0,0,0,0,0,0,0,0,0,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15966,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seq70,0,0,0,0,0,0,0,0,5,0,90,0,0,0,0,0,1266,0,0,0,0,1458,0,0,0,1049,0,0,0,158,0,0,829,2037,785,0,0,0,0,0,0,0,66,0,0,0,0,421,231,0,78,165,104,1904,0,0,274,0,0,35,0,0,172,0,2930,0,0,477,0,91,533,0,0,0,0,0,324,0,0,0,0,0,0,356,0,0,0,816,0,0,1381,0,64,0,404,3852,0,0,0,0,21,0,0,0,0,0,85,0,15,761,0,0,0,0,0,0,0,0,110,0,0,4027,476
Seq71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11863,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,15646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seq72,0,0,0,0,0,0,44,85,0,3,0,10,0,0,866,0,0,0,12740,0,121,0,0,0,107,0,0,0,199,0,0,0,0,0,0,0,2339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3656,6,0,0,0,0,0,0,0,0,0,0,1368,0,0,0,0,385,8,0,0,0,0,0,0,0,0,0,0,0,0,3871,0,0,0,0,0,0,3,0,0,1254,0,0,0,63,0,0,0,0,0
Seq73,0,0,0,0,0,0,0,0,13090,0,0,0,0,0,0,0,589,0,0,0,0,12,0,0,7,0,0,0,0,39,0,0,12793,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seq74,0,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,478,0,0,9,0,6710,0,0,0,11,0,0,0,559,0,0,0,0,7,0,0,0,0,0,0,0,12,0,0,0,0,62,0,0,259,87,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,14699,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,556
Seq75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7759,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,5532,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,81,0,0,0,507,402,11941,0,0,0
Seq76,0,0,0,0,4413,0,121,0,0,0,0,0,0,1139,0,0,0,0,303,0,0,0,0,0,5368,0,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1869,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,601,0,0,0,0,0,0,0,0,0,0,0,2307,3,0,0,0,0,0,5150,0,0,0,0,0,0,1693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seq77,0,0,0,0,0,0,0,27,0,0,57,0,0,50,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,15,0,0,20768,0,48,577,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seq78,0,0,0,0,0,0,0,0,0,0,6608,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,0,0,0,0,0,0,493,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seq79,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,4326,5,0,0,1193,0,24,0,0,6,0,0,0,0,4,0,0,15,2308,0,0,0,30,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2746,0,0,0,0,0,46,0,0,78,0,0,7223,0,0,3,0,0,0,0,0,0,0,0,8,0,2,0,0,505,0,0,0,0,0,0,148,0,0,77,0,0,5,0,0,0,0,0,0,577,5,4949,0,0,0,0,0,0,0,0,0,0,0,0,367
Seq80,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,17173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0
Seq81,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,1753,0,0,0,0,2157,0,0,0,0,0,0,0,0,9,0,7069,0,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4850,0,1368,0,473,0,0,0,0,1291,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,3169,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,770,0,0,3
